Jabatan,Kode Unit,Judul Unit,Elemen Kompetensi,KUK
Teknisi Akuntansi,M.69PTA00.018.1,Dukungan Penyusunan Laporan Auditor Independen,Menyiapkan administrasi laporan,administrasi finalisasi laporan diselesaikan sesuai prosedur.
Programmer,J.62GIM00.034.2,Melakukan Integrasi Animasi,Mengatur Animation State Machine,klip animasi diimpor engine
Programmer,J.62GIM00.034.2,Melakukan Integrasi Animasi,Mengatur Animation State Machine,transisi antar animasi diatur
Programmer,J.62GIM00.034.2,Melakukan Integrasi Animasi,Mengatur Animation State Machine,logika pemicu trigger dihubungkan kode.
Programmer,J.62GIM00.035.2,Melakukan Integrasi Audio,Mengimplementasikan audio engine,audio listener ditempatkan
Programmer,J.62GIM00.035.2,Melakukan Integrasi Audio,Mengimplementasikan audio engine,sound mixer diatur volumenya
Programmer,J.62GIM00.035.2,Melakukan Integrasi Audio,Mengimplementasikan audio engine,pemicu suara dipasang event game.
Programmer,J.62GIM00.036.2,Melakukan Integrasi UI,Membangun fungsionalitas menu,canvas ui diatur skalanya
Programmer,J.62GIM00.036.2,Melakukan Integrasi UI,Membangun fungsionalitas menu,event klik tombol dihubungkan fungsi
Programmer,J.62GIM00.036.2,Melakukan Integrasi UI,Membangun fungsionalitas menu,data game ditampilkan layar hud.
Programmer,J.62GIM00.038.2,Mengimplementasikan AI,Membangun perilaku NPC,logika pengambilan keputusan dibuat
Programmer,J.62GIM00.038.2,Mengimplementasikan AI,Membangun perilaku NPC,pathfinding navmesh diimplementasikan
Programmer,J.62GIM00.038.2,Mengimplementasikan AI,Membangun perilaku NPC,ai diuji berbagai skenario.
Programmer,J.62GIM00.039.2,Mengimplementasikan Multiplayer,Membangun sinkronisasi data,arsitektur jaringan ditentukan
Programmer,J.62GIM00.039.2,Mengimplementasikan Multiplayer,Membangun sinkronisasi data,sinkronisasi posisi pemain dilakukan
Programmer,J.62GIM00.039.2,Mengimplementasikan Multiplayer,Membangun sinkronisasi data,latency ping dikelola.
Programmer,J.62GIM00.040.2,Mengimplementasikan Monetisasi,Integrasi layanan IAP,katalog produk toko disiapkan
Programmer,J.62GIM00.040.2,Mengimplementasikan Monetisasi,Integrasi layanan IAP,proses transaksi dihubungkan api
Programmer,J.62GIM00.040.2,Mengimplementasikan Monetisasi,Integrasi layanan IAP,validasi pembelian dilakukan.
Programmer,J.62GIM00.042.1,Membuat Struktur Data,Memilih tipe data yang efisien,struktur data dipilih sesuai kebutuhan
Programmer,J.62GIM00.042.1,Membuat Struktur Data,Memilih tipe data yang efisien,algoritma logika game dioptimasi
Programmer,J.62GIM00.042.1,Membuat Struktur Data,Memilih tipe data yang efisien,penggunaan memori dipantau.
Programmer,J.62GIM00.043.1,Menerapkan Mekanika Game,Membangun sistem interaksi,logika input kendali dibuat
Programmer,J.62GIM00.043.1,Menerapkan Mekanika Game,Membangun sistem interaksi,sistem collision tabrakan diterapkan
Programmer,J.62GIM00.043.1,Menerapkan Mekanika Game,Membangun sistem interaksi,aturan mekanika diimplementasikan.
Programmer,J.62GIM00.046.2,Melakukan Debugging,Mengidentifikasi kesalahan kode,error log dianalisis
Programmer,J.62GIM00.046.2,Melakukan Debugging,Mengidentifikasi kesalahan kode,langkah reproduksi bug ditemukan
Programmer,J.62GIM00.046.2,Melakukan Debugging,Mengidentifikasi kesalahan kode,perbaikan kode dilakukan divalidasi.
Programmer,J.62GIM00.047.2,Mengimplementasikan Optimasi,Melakukan profiling kinerja,bottleneck gpucpu dideteksi
Programmer,J.62GIM00.047.2,Mengimplementasikan Optimasi,Melakukan profiling kinerja,draw calls dikurangi
Programmer,J.62GIM00.047.2,Mengimplementasikan Optimasi,Melakukan profiling kinerja,load balancing dilakukan.
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan kebutuhan bisnis,masalah bisnis diidentifikasi
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan kebutuhan bisnis,tujuan bisnis ditentukan
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan kebutuhan bisnis,kriteria keberhasilan analisis ditetapkan.
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan ruang lingkup analisis,batasan analisis ditentukan
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan ruang lingkup analisis,pemangku kepentingan diidentifikasi
Data Analyst,M.70DAN00.001.1,Mengidentifikasi Masalah Bisnis,Menentukan ruang lingkup analisis,rencana kerja analisis disusun.
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Mengidentifikasi sumber data,jenis data dibutuhkan diidentifikasi
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Mengidentifikasi sumber data,sumber data potensial dipetakan
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Mengidentifikasi sumber data,metode perolehan data ditentukan.
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Menyusun spesifikasi data,format data ditentukan
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Menyusun spesifikasi data,struktur data didefinisikan
Data Analyst,M.70DAN00.002.1,Menentukan Kebutuhan Data,Menyusun spesifikasi data,standar kualitas data ditetapkan.
Data Analyst,M.70DAN00.003.1,Mengumpulkan Data,Melakukan akuisisi data,data dikumpulkan sumber primersekunder
Data Analyst,M.70DAN00.003.1,Mengumpulkan Data,Melakukan akuisisi data,alat pengumpulan data digunakan sesuai prosedur
Data Analyst,M.70DAN00.003.1,Mengumpulkan Data,Melakukan akuisisi data,integritas data selama pengumpulan dijaga.
Data Analyst,M.70DAN00.004.1,Menelaah Data,Melakukan eksplorasi data,karakteristik data diidentifikasi
Data Analyst,M.70DAN00.004.1,Menelaah Data,Melakukan eksplorasi data,ringkasan statistik data dihitung
Data Analyst,M.70DAN00.004.1,Menelaah Data,Melakukan eksplorasi data,pola data awal diidentifikasi.
Data Analyst,M.70DAN00.005.1,Membersihkan Data,Menangani kesalahan data,data duplikat dihapus
Data Analyst,M.70DAN00.005.1,Membersihkan Data,Menangani kesalahan data,data hilang missing values ditangani
Data Analyst,M.70DAN00.005.1,Membersihkan Data,Menangani kesalahan data,ketidakkonsistenan data diperbaiki.
Data Analyst,M.70DAN00.006.1,Mengonstruksi Data,Melakukan transformasi data,format data disesuaikan
Data Analyst,M.70DAN00.006.1,Mengonstruksi Data,Melakukan transformasi data,penggabungan data merging dilakukan
Data Analyst,M.70DAN00.006.1,Mengonstruksi Data,Melakukan transformasi data,feature engineering dasar dilakukan.
Data Analyst,M.70DAN00.007.1,Menganalisis Data Menggunakan Statistik,Menerapkan metode statistik,metode statistik relevan dipilih
Data Analyst,M.70DAN00.007.1,Menganalisis Data Menggunakan Statistik,Menerapkan metode statistik,uji hipotesis korelasi dilakukan
Data Analyst,M.70DAN00.007.1,Menganalisis Data Menggunakan Statistik,Menerapkan metode statistik,hasil statistik diinterpretasikan.
Data Analyst,M.70DAN00.008.1,Menganalisis Data Menggunakan Alat Pemodelan,Membangun model analitik,algoritma pemodelan dipilih
